total_number_messages_human;total_number_messages_agent;average_message_length_human;average_message_length_agent;ignored;workload;world_nr;tick_nr
0;0;0;0;0;0;1;0
0;0;0;0;0;0;1;1
0;1;0;0;0;0.08;1;2
0;1;0;0;0;0.08;1;3
0;1;0;0;0;0.08;1;4
0;1;0;0;0;0.08;1;5
0;1;0;0;0;0.08;1;6
0;1;0;0;0;0.08;1;7
0;1;0;0;0;0.08;1;8
0;1;0;0;0;0.08;1;9
0;1;0;0;0;0.08;1;10
0;1;0;0;0;0.08;1;11
0;1;0;0;0;0.08;1;12
0;1;0;0;0;0.08;1;13
0;1;0;0;0;0.08;1;14
0;1;0;0;0;0.08;1;15
0;1;0;0;0;0.08;1;16
0;1;0;0;0;0.08;1;17
0;1;0;0;0;0.08;1;18
0;1;0;0;0;0.08;1;19
0;1;0;0;0;0.08;1;20
0;1;0;0;0;0.08;1;21
0;1;0;0;0;0.08;1;22
0;1;0;0;0;0.08;1;23
0;1;0;0;0;0.08;1;24
0;1;0;0;0;0.08;1;25
0;1;0;0;0;0.08;1;26
0;1;0;0;0;0.08;1;27
1;1;0;0;0;0.08;1;28
1;1;0;0;0;0.08;1;29
1;2;0;0;0;0.08;1;30
1;2;0;0;0;0.08;1;31
1;2;0;0;0;0.08;1;32
1;2;0;0;0;0.08;1;33
1;2;0;0;0;0.08;1;34
1;2;0;0;0;0.08;1;35
1;2;0;0;0;0.08;1;36
1;2;0;0;0;0.08;1;37
1;2;0;0;0;0.08;1;38
1;2;0;0;0;0.08;1;39
1;2;0;0;0;0.08;1;40
1;2;0;0;0;0.08;1;41
1;2;0;0;0;0.08;1;42
1;2;0;0;0;0.08;1;43
1;2;0;0;0;0.08;1;44
1;2;0;0;0;0.08;1;45
1;2;0;0;0;0.08;1;46
1;2;0;0;0;0.08;1;47
1;2;0;0;0;0.08;1;48
1;2;0;0;0;0.08;1;49
1;2;0;0;0;0.08;1;50
1;2;0;0;0;0.08;1;51
1;2;0;0;0;0.08;1;52
1;2;0;0;0;0.08;1;53
1;2;0;0;0;0.08;1;54
1;2;0;0;0;0.08;1;55
1;2;0;0;0;0.08;1;56
1;3;0;0;0;0.09;1;57
1;3;0;0;0;0.09;1;58
1;3;0;0;0;0.09;1;59
1;3;0;0;0;0.09;1;60
1;3;0;0;0;0.09;1;61
1;3;0;0;0;0.09;1;62
1;3;0;0;0;0.09;1;63
1;3;0;0;0;0.09;1;64
1;3;0;0;0;0.09;1;65
1;3;0;0;0;0.09;1;66
1;3;0;0;0;0.09;1;67
1;3;0;0;0;0.09;1;68
1;3;0;0;0;0.09;1;69
1;3;0;0;0;0.09;1;70
1;3;0;0;0;0.09;1;71
1;3;0;0;0;0.09;1;72
1;3;0;0;0;0.09;1;73
1;3;0;0;0;0.09;1;74
1;3;0;0;0;0.09;1;75
1;3;0;0;0;0.09;1;76
1;3;0;0;0;0.09;1;77
1;3;0;0;0;0.09;1;78
1;3;0;0;0;0.09;1;79
1;3;0;0;0;0.09;1;80
1;3;0;0;0;0.09;1;81
1;3;0;0;0;0.09;1;82
1;3;0;0;0;0.09;1;83
1;4;0;0;0;0.1;1;84
1;4;0;0;0;0.1;1;85
1;4;0;0;0;0.1;1;86
1;4;0;0;0;0.1;1;87
1;4;0;0;0;0.1;1;88
1;4;0;0;0;0.1;1;89
1;4;0;0;0;0.1;1;90
1;4;0;0;0;0.1;1;91
1;4;0;0;0;0.1;1;92
1;4;0;0;0;0.1;1;93
1;4;0;0;0;0.1;1;94
1;4;0;0;0;0.1;1;95
1;4;0;0;0;0.1;1;96
1;4;0;0;0;0.1;1;97
1;4;0;0;0;0.1;1;98
1;4;0;0;0;0.1;1;99
1;4;0;0;0;0.1;1;100
1;4;0;0;0;0.1;1;101
1;5;0;0;0;0.11;1;102
1;5;0;0;0;0.11;1;103
1;5;0;0;0;0.11;1;104
1;5;0;0;0;0.11;1;105
1;5;0;0;0;0.11;1;106
1;5;0;0;0;0.11;1;107
1;5;0;0;0;0.11;1;108
1;5;0;0;0;0.11;1;109
1;5;0;0;0;0.11;1;110
1;5;0;0;0;0.11;1;111
1;5;0;0;0;0.11;1;112
1;5;0;0;0;0.11;1;113
1;5;0;0;0;0.11;1;114
1;5;0;0;0;0.11;1;115
1;5;0;0;0;0.11;1;116
1;5;0;0;0;0.11;1;117
1;5;0;0;0;0.11;1;118
1;5;0;0;0;0.11;1;119
1;5;0;0;0;0.11;1;120
1;5;0;0;0;0.11;1;121
1;5;0;0;0;0.11;1;122
1;5;0;0;0;0.11;1;123
1;5;0;0;0;0.11;1;124
1;5;0;0;0;0.11;1;125
1;5;0;0;0;0.11;1;126
1;5;0;0;0;0.11;1;127
1;5;0;0;0;0.11;1;128
1;5;0;0;0;0.11;1;129
1;5;0;0;0;0.11;1;130
1;5;0;0;0;0.11;1;131
1;5;0;0;0;0.11;1;132
1;5;0;0;0;0.11;1;133
1;5;0;0;0;0.11;1;134
1;5;0;0;0;0.11;1;135
1;5;0;0;0;0.11;1;136
1;5;0;0;0;0.11;1;137
1;5;0;0;0;0.11;1;138
1;5;0;0;0;0.11;1;139
1;5;0;0;0;0.11;1;140
1;5;0;0;0;0.11;1;141
1;5;0;0;0;0.11;1;142
1;5;0;0;0;0.11;1;143
1;5;0;0;0;0.11;1;144
1;5;0;0;0;0.11;1;145
1;5;0;0;0;0.11;1;146
1;5;0;0;0;0.11;1;147
1;5;0;0;0;0.11;1;148
1;5;0;0;0;0.11;1;149
1;5;0;0;0;0.11;1;150
1;5;0;0;0;0.11;1;151
1;5;0;0;0;0.11;1;152
1;5;0;0;0;0.11;1;153
1;5;0;0;0;0.11;1;154
1;6;0;0;0;0.11;1;155
1;6;0;0;0;0.11;1;156
1;6;0;0;0;0.11;1;157
1;6;0;0;0;0.11;1;158
1;6;0;0;0;0.11;1;159
1;6;0;0;0;0.11;1;160
1;6;0;0;0;0.11;1;161
1;6;0;0;0;0.11;1;162
1;6;0;0;0;0.11;1;163
1;6;0;0;0;0.11;1;164
1;6;0;0;0;0.11;1;165
1;6;0;0;0;0.11;1;166
1;6;0;0;0;0.11;1;167
1;6;0;0;0;0.11;1;168
1;6;0;0;0;0.11;1;169
1;6;0;0;0;0.11;1;170
1;6;0;0;0;0.11;1;171
1;6;0;0;0;0.11;1;172
1;6;0;0;0;0.11;1;173
1;6;0;0;0;0.11;1;174
1;6;0;0;0;0.11;1;175
1;6;0;0;0;0.11;1;176
1;6;0;0;0;0.11;1;177
1;6;0;0;0;0.11;1;178
1;6;0;0;0;0.11;1;179
1;6;0;0;0;0.11;1;180
1;6;0;0;0;0.11;1;181
1;6;0;0;0;0.11;1;182
1;6;0;0;0;0.11;1;183
1;6;0;0;0;0.11;1;184
1;6;0;0;0;0.11;1;185
1;6;0;0;0;0.11;1;186
1;6;0;0;0;0.11;1;187
1;6;0;0;0;0.11;1;188
1;6;0;0;0;0.11;1;189
1;6;0;0;0;0.11;1;190
1;6;0;0;0;0.11;1;191
1;6;0;0;0;0.11;1;192
1;6;0;0;0;0.11;1;193
1;6;0;0;0;0.11;1;194
1;6;0;0;0;0.11;1;195
1;6;0;0;0;0.11;1;196
1;6;0;0;0;0.11;1;197
1;6;0;0;0;0.11;1;198
1;6;0;0;0;0.11;1;199
1;6;0;0;0;0.11;1;200
1;6;0;0;0;0.11;1;201
1;6;0;0;0;0.11;1;202
1;6;0;0;0;0.11;1;203
1;6;0;0;0;0.11;1;204
1;6;0;0;0;0.11;1;205
1;6;0;0;0;0.11;1;206
1;6;0;0;0;0.11;1;207
1;6;0;0;0;0.11;1;208
1;6;0;0;0;0.11;1;209
1;6;0;0;0;0.11;1;210
1;6;0;0;0;0.11;1;211
1;6;0;0;0;0.11;1;212
1;6;0;0;0;0.11;1;213
1;6;0;0;0;0.11;1;214
1;6;0;0;0;0.11;1;215
1;6;0;0;0;0.11;1;216
1;6;0;0;0;0.11;1;217
1;6;0;0;0;0.11;1;218
1;6;0;0;0;0.11;1;219
1;6;0;0;0;0.11;1;220
1;6;0;0;0;0.11;1;221
1;6;0;0;0;0.11;1;222
1;6;0;0;0;0.11;1;223
1;6;0;0;0;0.11;1;224
1;6;0;0;0;0.11;1;225
1;6;0;0;0;0.11;1;226
1;6;0;0;0;0.11;1;227
1;6;0;0;0;0.11;1;228
1;6;0;0;0;0.11;1;229
1;6;0;0;0;0.11;1;230
1;6;0;0;0;0.11;1;231
1;6;0;0;0;0.11;1;232
1;6;0;0;0;0.11;1;233
1;6;0;0;0;0.11;1;234
1;6;0;0;0;0.11;1;235
1;6;0;0;0;0.11;1;236
1;7;0;0;0;0.11;1;237
1;7;0;0;0;0.11;1;238
1;7;0;0;0;0.11;1;239
1;7;0;0;0;0.11;1;240
1;7;0;0;0;0.11;1;241
1;7;0;0;0;0.11;1;242
1;7;0;0;0;0.11;1;243
1;7;0;0;0;0.11;1;244
1;7;0;0;0;0.11;1;245
1;7;0;0;0;0.11;1;246
1;7;0;0;0;0.11;1;247
1;7;0;0;0;0.11;1;248
1;7;0;0;0;0.11;1;249
1;7;0;0;0;0.11;1;250
1;7;0;0;0;0.11;1;251
1;7;0;0;0;0.11;1;252
1;7;0;0;0;0.11;1;253
1;7;0;0;0;0.11;1;254
1;7;0;0;0;0.11;1;255
1;7;0;0;0;0.11;1;256
1;7;0;0;0;0.11;1;257
1;7;0;0;0;0.11;1;258
1;7;0;0;0;0.11;1;259
1;7;0;0;0;0.11;1;260
1;7;0;0;0;0.11;1;261
1;7;0;0;0;0.11;1;262
1;7;0;0;0;0.11;1;263
1;7;0;0;0;0.11;1;264
1;7;0;0;0;0.11;1;265
1;7;0;0;0;0.11;1;266
1;7;0;0;0;0.11;1;267
1;7;0;0;0;0.11;1;268
1;7;0;0;0;0.11;1;269
1;7;0;0;0;0.11;1;270
1;7;0;0;0;0.11;1;271
1;7;0;0;0;0.11;1;272
1;7;0;0;0;0.11;1;273
1;7;0;0;0;0.11;1;274
1;7;0;0;0;0.11;1;275
1;7;0;0;0;0.11;1;276
1;7;0;0;0;0.11;1;277
1;7;0;0;0;0.11;1;278
1;7;0;0;0;0.11;1;279
1;7;0;0;0;0.11;1;280
1;7;0;0;0;0.11;1;281
1;7;0;0;0;0.11;1;282
1;8;0;0;0;0.12;1;283
1;8;0;0;0;0.12;1;284
1;8;0;0;0;0.12;1;285
1;8;0;0;0;0.12;1;286
1;8;0;0;0;0.12;1;287
1;8;0;0;0;0.12;1;288
1;8;0;0;0;0.12;1;289
1;8;0;0;0;0.12;1;290
1;8;0;0;0;0.12;1;291
1;8;0;0;0;0.12;1;292
1;8;0;0;0;0.12;1;293
1;8;0;0;0;0.12;1;294
1;8;0;0;0;0.12;1;295
1;8;0;0;0;0.12;1;296
1;8;0;0;0;0.12;1;297
1;8;0;0;0;0.12;1;298
1;8;0;0;0;0.12;1;299
1;8;0;0;0;0.12;1;300
1;8;0;0;0;0.12;1;301
1;8;0;0;0;0.12;1;302
1;8;0;0;0;0.12;1;303
1;8;0;0;0;0.12;1;304
1;8;0;0;0;0.12;1;305
1;8;0;0;0;0.12;1;306
1;8;0;0;0;0.12;1;307
1;8;0;0;0;0.12;1;308
1;8;0;0;0;0.12;1;309
1;8;0;0;0;0.12;1;310
1;8;0;0;0;0.12;1;311
1;8;0;0;0;0.12;1;312
1;8;0;0;0;0.12;1;313
1;8;0;0;0;0.12;1;314
1;8;0;0;0;0.12;1;315
1;8;0;0;0;0.12;1;316
1;8;0;0;0;0.12;1;317
1;8;0;0;0;0.12;1;318
1;8;0;0;0;0.12;1;319
1;8;0;0;0;0.12;1;320
1;8;0;0;0;0.12;1;321
1;8;0;0;0;0.12;1;322
1;8;0;0;0;0.12;1;323
1;8;0;0;0;0.12;1;324
1;8;0;0;0;0.12;1;325
1;8;0;0;0;0.12;1;326
1;8;0;0;0;0.12;1;327
1;8;0;0;0;0.12;1;328
1;8;0;0;0;0.12;1;329
1;8;0;0;0;0.12;1;330
1;8;0;0;0;0.12;1;331
1;8;0;0;0;0.12;1;332
1;8;0;0;0;0.12;1;333
1;8;0;0;0;0.12;1;334
1;8;0;0;0;0.12;1;335
1;8;0;0;0;0.12;1;336
1;8;0;0;0;0.12;1;337
1;8;0;0;0;0.12;1;338
1;8;0;0;0;0.12;1;339
1;8;0;0;0;0.12;1;340
1;8;0;0;0;0.12;1;341
1;8;0;0;0;0.12;1;342
1;8;0;0;0;0.12;1;343
1;8;0;0;0;0.12;1;344
1;8;0;0;0;0.12;1;345
1;8;0;0;0;0.12;1;346
1;8;0;0;0;0.12;1;347
1;8;0;0;0;0.12;1;348
1;8;0;0;0;0.12;1;349
1;8;0;0;0;0.12;1;350
1;8;0;0;0;0.12;1;351
1;8;0;0;0;0.12;1;352
1;8;0;0;0;0.12;1;353
1;8;0;0;0;0.12;1;354
1;8;0;0;0;0.12;1;355
1;8;0;0;0;0.12;1;356
1;8;0;0;0;0.12;1;357
1;8;0;0;0;0.12;1;358
1;8;0;0;0;0.12;1;359
1;8;0;0;0;0.12;1;360
1;8;0;0;0;0.12;1;361
1;8;0;0;0;0.12;1;362
1;8;0;0;0;0.12;1;363
1;8;0;0;0;0.12;1;364
1;8;0;0;0;0.12;1;365
1;8;0;0;0;0.12;1;366
1;8;0;0;0;0.12;1;367
1;8;0;0;0;0.12;1;368
1;8;0;0;0;0.12;1;369
1;8;0;0;0;0.12;1;370
1;8;0;0;0;0.12;1;371
1;8;0;0;0;0.12;1;372
1;8;0;0;0;0.12;1;373
1;8;0;0;0;0.12;1;374
1;8;0;0;0;0.12;1;375
1;8;0;0;0;0.12;1;376
1;8;0;0;0;0.12;1;377
1;8;0;0;0;0.12;1;378
1;8;0;0;0;0.12;1;379
1;8;0;0;0;0.12;1;380
1;8;0;0;0;0.12;1;381
1;8;0;0;0;0.12;1;382
1;8;0;0;0;0.12;1;383
1;8;0;0;0;0.12;1;384
1;8;0;0;0;0.12;1;385
1;8;0;0;0;0.12;1;386
1;8;0;0;0;0.12;1;387
1;8;0;0;0;0.12;1;388
1;8;0;0;0;0.12;1;389
1;8;0;0;0;0.12;1;390
1;8;0;0;0;0.12;1;391
1;8;0;0;0;0.12;1;392
1;8;0;0;0;0.12;1;393
1;8;0;0;0;0.12;1;394
1;8;0;0;0;0.12;1;395
1;8;0;0;0;0.12;1;396
1;8;0;0;0;0.12;1;397
1;8;0;0;0;0.12;1;398
1;8;0;0;0;0.12;1;399
1;8;0;0;0;0.12;1;400
1;8;0;0;0;0.12;1;401
1;8;0;0;0;0.12;1;402
1;8;0;0;0;0.12;1;403
1;8;0;0;0;0.12;1;404
1;8;0;0;0;0.12;1;405
1;8;0;0;0;0.12;1;406
1;8;0;0;0;0.12;1;407
1;8;0;0;0;0.12;1;408
1;8;0;0;0;0.12;1;409
1;8;0;0;0;0.12;1;410
1;8;0;0;0;0.12;1;411
1;8;0;0;0;0.12;1;412
1;8;0;0;0;0.12;1;413
1;8;0;0;0;0.12;1;414
1;8;0;0;0;0.12;1;415
1;8;0;0;0;0.12;1;416
1;8;0;0;0;0.12;1;417
1;8;0;0;0;0.12;1;418
1;8;0;0;0;0.12;1;419
1;8;0;0;0;0.12;1;420
1;8;0;0;0;0.12;1;421
1;8;0;0;0;0.12;1;422
1;8;0;0;0;0.12;1;423
1;8;0;0;0;0.12;1;424
1;8;0;0;0;0.12;1;425
1;8;0;0;0;0.12;1;426
1;8;0;0;0;0.12;1;427
1;8;0;0;0;0.12;1;428
1;8;0;0;0;0.12;1;429
1;8;0;0;0;0.12;1;430
1;8;0;0;0;0.12;1;431
1;8;0;0;0;0.12;1;432
1;8;0;0;0;0.12;1;433
1;8;0;0;0;0.12;1;434
