total_number_messages_human;total_number_messages_agent;average_message_length_human;average_message_length_agent;ignored;world_nr;tick_nr
0;0;0;0;0;1;0
0;0;0;0;0;1;1
0;0;0;0;0;1;2
0;0;0;0;0;1;3
0;0;0;0;0;1;4
0;0;0;0;0;1;5
0;0;0;0;0;1;6
0;0;0;0;0;1;7
0;0;0;0;0;1;8
0;0;0;0;0;1;9
0;0;0;0;0;1;10
0;0;0;0;0;1;11
0;0;0;0;0;1;12
0;0;0;0;0;1;13
0;0;0;0;0;1;14
0;0;0;0;0;1;15
0;0;0;0;0;1;16
0;0;0;0;0;1;17
0;0;0;0;0;1;18
0;0;0;0;0;1;19
0;0;0;0;0;1;20
0;0;0;0;0;1;21
0;0;0;0;0;1;22
0;0;0;0;0;1;23
0;0;0;0;0;1;24
0;0;0;0;0;1;25
0;0;0;0;0;1;26
0;0;0;0;0;1;27
0;0;0;0;0;1;28
0;0;0;0;0;1;29
0;0;0;0;0;1;30
0;0;0;0;0;1;31
1;0;0;0;0;1;32
1;0;0;0;0;1;33
1;1;0;0;0;1;34
1;1;0;0;0;1;35
1;1;0;0;0;1;36
1;1;0;0;0;1;37
1;1;0;0;0;1;38
1;1;0;0;0;1;39
1;1;0;0;0;1;40
1;1;0;0;0;1;41
1;1;0;0;0;1;42
1;1;0;0;0;1;43
1;1;0;0;0;1;44
1;1;0;0;0;1;45
1;1;0;0;0;1;46
1;1;0;0;0;1;47
1;1;0;0;0;1;48
1;1;0;0;0;1;49
1;1;0;0;0;1;50
1;1;0;0;0;1;51
1;1;0;0;0;1;52
1;1;0;0;0;1;53
1;1;0;0;0;1;54
1;1;0;0;0;1;55
1;1;0;0;0;1;56
1;1;0;0;0;1;57
1;1;0;0;0;1;58
1;1;0;0;0;1;59
1;1;0;0;0;1;60
1;1;0;0;0;1;61
1;1;0;0;0;1;62
1;1;0;0;0;1;63
1;1;0;0;0;1;64
1;1;0;0;0;1;65
1;1;0;0;0;1;66
1;1;0;0;0;1;67
1;1;0;0;0;1;68
1;1;0;0;0;1;69
1;1;0;0;0;1;70
1;1;0;0;0;1;71
1;1;0;0;0;1;72
1;1;0;0;0;1;73
1;1;0;0;0;1;74
1;1;0;0;0;1;75
1;1;0;0;0;1;76
1;1;0;0;0;1;77
1;1;0;0;0;1;78
1;1;0;0;0;1;79
1;1;0;0;0;1;80
1;1;0;0;0;1;81
1;1;0;0;0;1;82
1;1;0;0;0;1;83
1;1;0;0;0;1;84
1;1;0;0;0;1;85
1;1;0;0;0;1;86
1;1;0;0;0;1;87
1;1;0;0;0;1;88
1;1;0;0;0;1;89
1;1;0;0;0;1;90
1;1;0;0;0;1;91
1;1;0;0;0;1;92
1;1;0;0;0;1;93
1;1;0;0;0;1;94
1;1;0;0;0;1;95
1;1;0;0;0;1;96
1;1;0;0;0;1;97
1;1;0;0;0;1;98
1;1;0;0;0;1;99
1;1;0;0;0;1;100
1;1;0;0;0;1;101
1;1;0;0;0;1;102
1;1;0;0;0;1;103
1;1;0;0;0;1;104
1;1;0;0;0;1;105
1;1;0;0;0;1;106
1;1;0;0;0;1;107
1;1;0;0;0;1;108
1;1;0;0;0;1;109
1;1;0;0;0;1;110
1;1;0;0;0;1;111
1;1;0;0;0;1;112
1;1;0;0;0;1;113
1;1;0;0;0;1;114
1;1;0;0;0;1;115
1;1;0;0;0;1;116
1;1;0;0;0;1;117
1;1;0;0;0;1;118
1;1;0;0;0;1;119
1;1;0;0;0;1;120
1;1;0;0;0;1;121
1;1;0;0;0;1;122
1;1;0;0;0;1;123
1;1;0;0;0;1;124
1;1;0;0;0;1;125
1;1;0;0;0;1;126
1;1;0;0;0;1;127
1;1;0;0;0;1;128
1;1;0;0;0;1;129
1;1;0;0;0;1;130
1;1;0;0;0;1;131
1;1;0;0;0;1;132
1;1;0;0;0;1;133
1;1;0;0;0;1;134
1;1;0;0;0;1;135
1;1;0;0;0;1;136
1;1;0;0;0;1;137
1;1;0;0;0;1;138
1;1;0;0;0;1;139
1;1;0;0;0;1;140
1;1;0;0;0;1;141
1;1;0;0;0;1;142
1;1;0;0;0;1;143
1;1;0;0;0;1;144
1;1;0;0;0;1;145
1;1;0;0;0;1;146
1;1;0;0;0;1;147
1;1;0;0;0;1;148
1;1;0;0;0;1;149
1;1;0;0;0;1;150
1;1;0;0;0;1;151
1;1;0;0;0;1;152
1;1;0;0;0;1;153
1;1;0;0;0;1;154
1;1;0;0;0;1;155
1;1;0;0;0;1;156
1;1;0;0;0;1;157
1;1;0;0;0;1;158
1;2;0;0;0;1;159
1;2;0;0;0;1;160
1;2;0;0;0;1;161
1;2;0;0;0;1;162
1;2;0;0;0;1;163
1;2;0;0;0;1;164
1;2;0;0;0;1;165
1;2;0;0;0;1;166
1;2;0;0;0;1;167
1;2;0;0;0;1;168
1;2;0;0;0;1;169
1;2;0;0;0;1;170
1;2;0;0;0;1;171
1;2;0;0;0;1;172
1;2;0;0;0;1;173
1;2;0;0;0;1;174
1;2;0;0;0;1;175
1;2;0;0;0;1;176
1;2;0;0;0;1;177
1;2;0;0;0;1;178
1;2;0;0;0;1;179
1;2;0;0;0;1;180
1;2;0;0;0;1;181
1;2;0;0;0;1;182
1;2;0;0;0;1;183
1;2;0;0;0;1;184
1;2;0;0;0;1;185
1;2;0;0;0;1;186
1;2;0;0;0;1;187
1;2;0;0;0;1;188
1;2;0;0;0;1;189
1;2;0;0;0;1;190
1;2;0;0;0;1;191
1;2;0;0;0;1;192
1;2;0;0;0;1;193
1;2;0;0;0;1;194
1;2;0;0;0;1;195
1;2;0;0;0;1;196
1;2;0;0;0;1;197
1;2;0;0;0;1;198
1;2;0;0;0;1;199
1;2;0;0;0;1;200
1;2;0;0;0;1;201
1;2;0;0;0;1;202
1;2;0;0;0;1;203
1;2;0;0;0;1;204
1;2;0;0;0;1;205
1;2;0;0;0;1;206
1;2;0;0;0;1;207
1;2;0;0;0;1;208
1;2;0;0;0;1;209
1;2;0;0;0;1;210
1;2;0;0;0;1;211
1;2;0;0;0;1;212
1;2;0;0;0;1;213
